crop_name,area,soil_type,season,irrigation_type,rainfall,temperature,humidity,yield_tons
brinjal,1.43,clay,zaid,rainfed,1023.2,21.8,55.0,4.87
chili,0.99,loamy,rabi,flood,428.0,23.2,76.6,2.15
tomato,6.88,sandy,kharif,rainfed,691.8,28.2,62.5,25.48
wheat,0.74,black,rabi,drip,1055.1,20.2,78.1,3.86
cauliflower,8.26,black,zaid,drip,791.8,34.5,52.1,31.97
cabbage,8.1,black,kharif,rainfed,797.4,25.9,55.3,30.67
wheat,8.78,sandy,zaid,sprinkler,905.4,32.0,60.0,26.68
potato,6.47,clay,zaid,flood,522.8,22.4,57.5,26.17
rice,4.41,sandy,kharif,flood,1141.5,26.5,85.1,19.37
brinjal,1.3,sandy,kharif,sprinkler,600.1,30.2,52.9,3.86
cauliflower,7.96,black,kharif,drip,960.1,21.7,81.2,39.55
brinjal,3.13,black,kharif,rainfed,688.8,34.7,52.7,9.83
tomato,1.58,clay,rabi,sprinkler,663.2,31.1,78.2,8.34
tomato,6.25,black,zaid,flood,765.1,31.1,75.2,32.77
cabbage,6.16,clay,rabi,flood,454.9,33.9,52.7,19.12
wheat,1.37,black,zaid,rainfed,798.0,29.6,78.2,3.65
chili,5.49,loamy,rabi,drip,524.6,20.0,57.0,13.39
chili,2.52,clay,kharif,flood,1145.2,20.1,80.9,5.98
chili,4.16,loamy,kharif,drip,1142.6,28.1,87.6,11.87
chili,7.52,loamy,rabi,sprinkler,493.2,30.0,69.9,24.12
onion,9.19,sandy,zaid,drip,690.6,23.9,67.4,41.23
potato,6.56,black,kharif,flood,517.8,30.7,53.7,33.2
cauliflower,2.86,sandy,zaid,rainfed,493.0,24.1,59.9,5.38
onion,6.17,sandy,rabi,sprinkler,835.3,25.6,63.3,30.5
potato,5.67,black,zaid,flood,480.3,29.3,79.7,35.43
brinjal,4.56,sandy,rabi,sprinkler,485.6,32.0,63.3,18.75
tomato,0.83,clay,kharif,drip,1008.6,26.2,84.9,5.32
cabbage,1.87,clay,rabi,rainfed,1005.6,26.3,70.0,7.38
chili,4.37,loamy,rabi,rainfed,722.6,20.4,58.4,8.57
potato,4.38,clay,rabi,sprinkler,1131.6,21.7,70.7,35.39
rice,8.23,clay,zaid,flood,916.6,21.7,61.6,32.16
brinjal,3.89,clay,zaid,drip,618.4,32.4,81.6,14.17
cauliflower,6.51,black,kharif,rainfed,636.2,24.1,59.3,18.37
chili,5.28,clay,zaid,drip,474.5,32.9,77.1,13.92
cauliflower,4.67,black,zaid,sprinkler,849.5,22.4,76.9,15.95
wheat,2.07,sandy,zaid,drip,301.8,30.8,79.3,5.9
cabbage,0.68,clay,kharif,sprinkler,449.2,33.4,59.7,2.24
potato,2.51,black,rabi,drip,579.9,22.5,59.7,17.16
cabbage,5.93,sandy,rabi,rainfed,1187.6,26.2,80.2,21.18
potato,2.13,clay,zaid,sprinkler,750.1,26.2,84.8,13.29
tomato,4.67,loamy,kharif,drip,1182.4,27.7,54.6,37.35
potato,9.54,sandy,rabi,drip,998.8,29.2,84.3,67.71
potato,2.61,sandy,kharif,drip,943.2,33.2,79.3,17.33
brinjal,8.8,loamy,kharif,drip,483.1,21.9,61.4,42.5
potato,8.88,sandy,rabi,drip,719.7,21.1,65.5,63.44
potato,0.9,black,rabi,rainfed,731.3,22.7,79.7,5.66
wheat,4.78,loamy,kharif,drip,762.0,34.8,59.3,22.72
potato,7.43,sandy,zaid,sprinkler,847.6,30.6,65.0,38.94
onion,0.55,clay,kharif,drip,1024.0,31.6,71.9,2.33
brinjal,7.93,loamy,rabi,sprinkler,976.6,32.0,70.7,35.82
rice,2.11,sandy,kharif,flood,475.5,33.4,80.0,8.79
cauliflower,6.71,sandy,zaid,drip,1100.2,28.7,75.3,21.84
cabbage,2.79,black,zaid,drip,493.4,26.4,86.3,11.62
tomato,4.14,clay,rabi,sprinkler,1039.6,29.9,81.8,21.93
cabbage,9.42,loamy,zaid,flood,872.7,24.9,60.8,33.01
wheat,6.79,sandy,rabi,sprinkler,1033.4,31.7,80.4,19.49
wheat,4.0,clay,kharif,rainfed,689.1,20.5,60.4,8.08
rice,5.79,black,zaid,flood,335.1,30.0,62.9,28.74
brinjal,4.65,black,zaid,drip,900.1,21.4,79.9,24.29
cabbage,9.08,black,zaid,rainfed,1140.2,32.0,77.0,24.41
potato,4.41,sandy,zaid,rainfed,417.1,20.3,64.4,18.54
rice,0.66,sandy,rabi,sprinkler,1124.9,30.6,62.4,2.77
potato,4.32,sandy,kharif,drip,651.5,21.0,75.5,28.08
onion,6.0,clay,kharif,flood,812.5,33.0,65.2,22.59
rice,9.96,sandy,zaid,drip,1183.0,29.7,82.2,52.01
chili,4.82,clay,zaid,rainfed,907.3,30.2,64.9,10.59
rice,7.06,black,kharif,flood,927.4,29.7,61.0,30.77
cauliflower,2.44,black,kharif,flood,338.1,28.7,68.1,10.26
onion,0.74,black,rabi,rainfed,454.3,26.8,68.2,3.11
cabbage,8.88,sandy,rabi,sprinkler,826.0,32.5,75.7,27.01
brinjal,7.18,black,zaid,sprinkler,359.9,23.5,86.6,28.22
cauliflower,6.17,black,rabi,sprinkler,751.4,34.6,77.3,24.04
cauliflower,9.97,black,zaid,drip,327.0,33.5,74.9,45.07
brinjal,1.09,sandy,zaid,drip,601.8,21.0,89.0,4.14
potato,1.17,clay,zaid,sprinkler,489.7,23.4,68.8,6.25
wheat,9.74,sandy,kharif,rainfed,983.4,34.5,67.6,21.48
brinjal,3.34,sandy,rabi,rainfed,509.3,21.9,60.3,8.63
wheat,9.03,loamy,rabi,sprinkler,999.1,21.1,89.5,32.56
cabbage,7.21,clay,zaid,flood,855.5,22.3,69.1,28.07
brinjal,1.28,sandy,rabi,flood,713.6,24.6,82.9,3.58
brinjal,7.39,clay,kharif,sprinkler,816.9,30.0,81.1,34.46
cauliflower,7.77,sandy,kharif,drip,1146.4,20.2,70.9,29.81
chili,6.75,sandy,rabi,flood,405.3,32.0,54.9,13.3
chili,2.37,black,rabi,rainfed,1156.3,22.6,72.7,5.83
cabbage,4.04,black,zaid,rainfed,895.5,22.1,72.8,11.54
potato,4.36,black,zaid,drip,1112.9,29.1,73.1,35.93
chili,8.08,clay,rabi,rainfed,630.7,21.3,72.3,17.74
rice,2.59,clay,kharif,flood,496.4,33.1,60.0,9.45
onion,1.94,loamy,kharif,drip,712.5,25.3,53.8,10.29
onion,3.27,sandy,kharif,flood,486.8,23.6,86.3,10.37
tomato,1.97,black,kharif,drip,738.5,26.4,73.9,15.92
onion,5.02,loamy,rabi,sprinkler,907.0,31.4,51.8,27.22
potato,4.95,black,zaid,drip,996.2,21.9,75.1,34.04
chili,9.97,black,kharif,sprinkler,1016.4,31.3,58.6,25.56
tomato,6.28,loamy,rabi,drip,552.9,22.6,65.2,48.07
potato,6.69,sandy,zaid,flood,489.7,28.3,84.3,34.58
brinjal,3.52,clay,rabi,sprinkler,974.5,26.5,53.5,14.13
potato,9.63,sandy,kharif,drip,901.1,34.0,60.6,60.93
potato,8.56,black,rabi,rainfed,1152.4,33.3,79.6,45.79
wheat,6.94,clay,kharif,rainfed,788.7,25.2,67.4,21.42
potato,2.98,clay,zaid,rainfed,609.0,32.5,87.4,10.89
onion,2.07,black,rabi,rainfed,516.0,30.7,60.9,7.15
chili,2.84,sandy,rabi,flood,723.9,29.9,80.0,6.41
potato,7.69,sandy,kharif,flood,350.0,20.1,58.5,36.55
onion,9.01,sandy,zaid,sprinkler,1118.3,24.7,77.6,33.01
chili,3.75,clay,rabi,flood,687.0,32.5,54.8,8.82
tomato,5.18,black,rabi,drip,569.9,28.9,67.4,30.45
chili,9.07,clay,kharif,sprinkler,609.6,31.0,76.3,25.11
potato,9.03,clay,zaid,rainfed,659.6,24.9,50.4,44.17
rice,4.91,clay,kharif,drip,406.8,34.7,58.6,18.75
onion,8.7,loamy,zaid,sprinkler,500.8,33.1,81.6,41.6
cabbage,2.97,black,rabi,sprinkler,1172.8,26.5,63.9,12.35
wheat,2.57,loamy,kharif,flood,1190.5,28.6,55.5,10.58
rice,5.03,sandy,kharif,sprinkler,615.7,25.4,82.2,19.71
tomato,5.08,clay,kharif,rainfed,1056.8,23.3,65.2,25.29
cabbage,4.86,loamy,zaid,drip,573.0,34.0,54.7,23.72
tomato,0.81,sandy,kharif,sprinkler,728.0,26.1,56.4,4.07
onion,7.29,black,kharif,drip,361.6,26.3,54.7,36.52
potato,2.7,loamy,zaid,flood,913.2,34.1,51.9,14.84
tomato,1.51,sandy,zaid,sprinkler,619.4,26.2,77.0,7.29
wheat,8.36,black,zaid,rainfed,337.7,26.3,56.7,24.3
potato,2.99,clay,zaid,flood,581.7,32.5,52.0,14.37
cauliflower,3.21,clay,kharif,drip,382.2,24.7,51.7,12.74
cauliflower,8.99,black,rabi,flood,892.2,20.1,87.7,29.41
wheat,2.89,loamy,zaid,sprinkler,1059.8,27.3,70.6,11.32
wheat,3.08,clay,zaid,flood,305.7,34.7,88.6,7.12
chili,6.88,sandy,kharif,rainfed,1024.9,34.2,66.0,13.27
potato,7.04,loamy,zaid,sprinkler,408.3,34.1,57.2,44.71
rice,7.87,sandy,zaid,sprinkler,417.5,28.5,67.7,35.57
chili,1.45,clay,rabi,sprinkler,314.9,29.9,74.1,2.99
potato,8.43,sandy,zaid,drip,1177.2,22.0,59.3,59.48
chili,2.53,clay,rabi,sprinkler,678.0,20.1,84.3,6.46
cabbage,2.85,loamy,zaid,flood,927.9,25.5,72.6,9.64
brinjal,5.38,sandy,zaid,flood,475.0,21.4,66.4,13.82
tomato,9.34,black,kharif,rainfed,385.8,26.8,63.5,47.1
cauliflower,6.8,black,rabi,sprinkler,1083.6,31.4,79.1,30.3
wheat,2.48,sandy,kharif,sprinkler,566.8,33.7,71.9,7.91
wheat,6.96,clay,rabi,rainfed,351.0,20.5,65.7,18.75
cabbage,9.01,loamy,rabi,rainfed,567.6,23.4,66.5,28.94
chili,8.33,black,kharif,rainfed,657.3,22.3,79.5,15.64
wheat,9.93,loamy,rabi,drip,440.6,34.8,89.1,42.1
potato,6.56,loamy,kharif,drip,1186.7,31.5,67.4,56.43
onion,8.58,black,kharif,rainfed,481.4,34.0,77.6,32.95
cauliflower,5.47,loamy,zaid,sprinkler,528.2,27.1,69.7,20.02
rice,6.22,clay,zaid,sprinkler,760.5,20.9,61.5,23.31
potato,8.95,black,zaid,sprinkler,1149.5,31.5,50.2,47.5
wheat,2.65,clay,kharif,rainfed,923.1,23.5,75.0,8.01
rice,1.66,clay,kharif,sprinkler,931.2,21.7,89.9,6.69
chili,0.76,clay,kharif,rainfed,860.5,32.1,83.7,1.38
onion,7.38,loamy,zaid,rainfed,743.3,29.5,82.2,25.87
rice,5.25,black,kharif,flood,362.5,21.3,74.0,22.02
cabbage,9.92,black,rabi,rainfed,954.2,31.8,89.8,34.61
tomato,3.31,loamy,rabi,sprinkler,301.0,24.1,58.7,20.53
brinjal,0.65,sandy,rabi,flood,955.9,24.9,76.6,2.47
cauliflower,9.28,clay,zaid,rainfed,714.6,27.5,62.7,29.82
cauliflower,1.62,black,zaid,sprinkler,300.0,30.7,64.3,5.2
cabbage,8.59,clay,zaid,rainfed,1161.9,28.5,70.6,23.36
chili,6.27,sandy,rabi,sprinkler,649.9,23.6,53.8,12.39
cauliflower,9.88,black,zaid,flood,699.7,28.0,84.9,40.7
potato,5.03,loamy,zaid,sprinkler,586.5,27.3,84.4,34.84
potato,1.72,loamy,zaid,rainfed,820.6,30.4,78.0,10.28
wheat,7.44,sandy,rabi,flood,857.3,22.8,51.0,18.8
wheat,8.57,sandy,kharif,drip,476.6,21.9,88.5,21.01
cauliflower,7.83,sandy,kharif,rainfed,886.7,32.5,89.0,18.69
cauliflower,3.31,clay,zaid,sprinkler,1139.3,27.8,60.9,12.22
wheat,1.96,clay,kharif,sprinkler,1179.3,28.2,55.4,8.26
cauliflower,9.97,sandy,zaid,drip,930.4,31.6,63.5,41.31
rice,9.28,clay,kharif,rainfed,1177.7,32.5,62.1,43.81
wheat,4.81,sandy,kharif,flood,671.1,34.0,60.0,10.56
chili,4.93,clay,kharif,sprinkler,369.1,22.5,52.4,10.37
potato,9.44,black,rabi,sprinkler,1085.4,26.8,89.4,57.23
rice,4.27,black,rabi,rainfed,709.8,26.2,79.2,16.05
tomato,2.99,loamy,rabi,sprinkler,772.7,21.7,84.7,16.93
rice,7.48,black,rabi,rainfed,487.9,20.9,72.1,32.01
chili,3.78,loamy,zaid,rainfed,1022.7,28.1,53.2,8.23
chili,5.8,clay,kharif,rainfed,1082.9,25.6,74.6,12.15
cauliflower,3.49,loamy,rabi,sprinkler,1012.3,33.7,64.4,14.84
cauliflower,8.81,loamy,kharif,flood,1173.8,22.7,78.9,29.81
cabbage,6.02,sandy,kharif,sprinkler,1142.3,30.1,69.3,26.33
cabbage,9.83,clay,zaid,flood,377.5,32.2,61.2,25.39
onion,1.61,black,zaid,drip,414.4,22.8,68.4,8.45
tomato,8.29,black,zaid,flood,1043.7,28.8,64.1,51.42
cabbage,4.93,clay,zaid,sprinkler,700.8,20.2,59.9,19.66
cauliflower,5.04,black,zaid,flood,318.9,32.3,83.0,17.25
rice,5.66,black,zaid,sprinkler,636.4,29.4,50.5,22.91
potato,5.36,clay,zaid,sprinkler,735.0,25.7,83.6,27.24
wheat,1.18,sandy,kharif,flood,816.5,28.5,85.1,3.3
rice,7.89,loamy,zaid,flood,1040.1,33.5,71.0,39.77
brinjal,9.4,black,kharif,drip,1185.6,31.9,80.3,52.29
wheat,7.06,loamy,zaid,flood,955.9,20.7,87.1,19.27
onion,1.03,sandy,zaid,drip,598.0,31.5,66.5,4.32
tomato,1.44,black,rabi,drip,1161.0,29.0,79.1,9.79
rice,8.08,loamy,rabi,sprinkler,909.8,28.2,69.0,60.84
onion,7.93,sandy,kharif,flood,1193.3,23.6,85.0,33.43
brinjal,7.53,loamy,kharif,flood,851.0,20.3,57.8,34.92
tomato,8.73,sandy,zaid,rainfed,353.7,30.4,55.6,26.29
cabbage,5.9,loamy,rabi,flood,353.3,29.5,80.8,27.74
brinjal,5.93,black,zaid,flood,690.6,21.9,66.4,21.55
potato,7.16,black,zaid,flood,830.1,34.1,64.0,38.14
rice,3.49,loamy,zaid,flood,502.1,21.0,83.1,13.75
cauliflower,3.64,clay,zaid,sprinkler,970.3,26.2,57.8,13.43
tomato,4.48,sandy,kharif,sprinkler,839.4,27.7,61.5,17.9
cabbage,7.48,sandy,kharif,drip,321.6,28.8,87.7,21.73
potato,7.29,loamy,zaid,sprinkler,625.5,21.9,60.1,50.61
chili,1.66,loamy,kharif,rainfed,829.3,24.7,75.1,4.21
chili,2.93,black,rabi,flood,594.7,22.5,57.2,7.81
onion,6.14,clay,kharif,drip,830.7,21.0,83.3,24.48
chili,0.64,black,rabi,rainfed,624.3,29.1,65.5,1.6
chili,3.66,clay,kharif,rainfed,801.7,30.6,76.5,7.82
onion,9.97,loamy,kharif,rainfed,948.1,24.3,85.2,32.15
chili,2.6,clay,kharif,flood,424.3,32.9,70.0,5.8
brinjal,6.96,loamy,zaid,sprinkler,1138.5,29.3,82.2,27.71
potato,7.07,loamy,zaid,flood,1169.1,25.9,55.2,50.96
cauliflower,5.29,black,rabi,flood,581.0,26.4,75.8,22.71
potato,3.06,clay,zaid,rainfed,478.8,31.8,86.4,11.95
chili,8.54,black,zaid,flood,464.5,34.3,65.1,16.98
chili,1.54,black,zaid,sprinkler,523.7,24.8,82.4,4.24
cauliflower,3.1,sandy,rabi,sprinkler,1120.6,21.5,84.1,10.16
cauliflower,2.7,loamy,rabi,rainfed,519.2,24.6,52.5,7.45
potato,6.79,clay,kharif,sprinkler,976.6,32.2,87.8,38.53
cauliflower,6.18,loamy,kharif,drip,373.8,29.7,75.0,28.7
brinjal,5.02,sandy,zaid,drip,1064.2,25.8,56.7,22.7
rice,7.34,loamy,rabi,flood,760.0,29.1,68.4,46.72
potato,4.32,black,zaid,sprinkler,721.9,30.6,86.9,23.18
brinjal,4.37,black,zaid,sprinkler,1097.7,20.7,88.5,19.65
wheat,6.48,sandy,zaid,flood,1077.1,22.0,89.1,17.32
wheat,1.03,loamy,kharif,drip,530.1,27.9,56.9,3.66
cauliflower,1.66,loamy,zaid,flood,674.3,20.9,65.9,5.9
rice,5.54,clay,kharif,rainfed,721.2,26.2,82.7,23.9
onion,4.85,clay,kharif,flood,531.0,31.3,70.5,17.58
cabbage,4.63,loamy,zaid,drip,1128.6,25.2,52.2,19.72
rice,0.5,clay,kharif,sprinkler,1123.5,32.7,79.7,2.19
cabbage,7.38,sandy,rabi,drip,1135.9,26.5,54.8,31.44
onion,6.4,sandy,zaid,flood,946.8,21.7,51.4,24.87
onion,3.11,sandy,rabi,sprinkler,862.2,21.2,68.1,14.35
cauliflower,8.68,loamy,rabi,drip,1079.4,20.1,81.1,42.21
potato,5.84,sandy,rabi,sprinkler,551.5,31.7,85.5,30.2
onion,5.58,sandy,kharif,drip,1072.9,24.9,88.2,20.59
cabbage,9.92,black,zaid,sprinkler,1156.3,22.1,71.5,38.83
cabbage,2.63,sandy,kharif,flood,626.9,26.6,89.1,8.81
potato,8.48,loamy,rabi,sprinkler,605.4,30.6,89.8,54.68
cauliflower,9.2,loamy,zaid,sprinkler,946.1,24.3,63.1,31.69
onion,8.71,loamy,kharif,rainfed,406.8,22.6,69.1,35.58
cabbage,1.6,black,rabi,rainfed,1052.8,27.5,50.6,6.4
cauliflower,5.29,black,kharif,flood,1090.6,34.3,80.2,19.39
potato,3.45,clay,rabi,sprinkler,753.0,31.9,79.6,23.56
cabbage,1.33,sandy,kharif,sprinkler,639.6,26.2,51.6,3.99
cauliflower,7.48,sandy,zaid,sprinkler,929.6,32.8,54.6,24.62
onion,5.33,sandy,rabi,drip,858.2,27.2,69.1,28.87
potato,4.78,sandy,kharif,sprinkler,778.0,31.2,83.0,28.21
cauliflower,3.48,loamy,kharif,drip,872.1,25.3,55.9,16.98
wheat,1.76,loamy,rabi,rainfed,477.0,23.6,62.0,5.59
brinjal,3.94,black,kharif,rainfed,1041.6,23.1,68.8,16.73
onion,4.42,sandy,rabi,flood,479.4,26.2,52.9,15.71
chili,4.17,loamy,zaid,drip,372.5,22.2,61.9,9.24
rice,5.1,loamy,rabi,rainfed,410.9,24.6,87.0,18.01
brinjal,5.69,clay,zaid,drip,1096.0,28.3,71.4,23.83
wheat,2.41,loamy,kharif,sprinkler,1101.2,21.7,50.2,9.34
brinjal,1.02,black,zaid,flood,582.6,27.5,58.7,4.45
wheat,3.75,clay,kharif,sprinkler,1165.4,26.7,69.6,13.9
potato,8.21,loamy,kharif,rainfed,607.7,26.5,83.9,42.43
wheat,6.42,black,kharif,sprinkler,967.5,32.1,83.8,22.93
tomato,6.9,loamy,rabi,sprinkler,705.3,31.2,64.3,46.85
cauliflower,1.57,loamy,rabi,flood,836.8,27.3,51.1,6.03
potato,9.59,black,kharif,sprinkler,684.4,27.1,85.9,65.99
brinjal,1.67,clay,rabi,rainfed,485.4,20.0,51.6,5.67
cauliflower,5.73,loamy,rabi,rainfed,437.8,30.9,74.0,20.62
onion,3.44,black,rabi,rainfed,1143.1,27.7,69.9,13.52
onion,6.17,black,zaid,sprinkler,654.3,27.1,84.2,25.98
rice,3.88,sandy,kharif,rainfed,912.3,24.1,83.1,14.4
rice,1.84,loamy,kharif,flood,557.8,27.8,79.9,10.39
cabbage,7.52,black,rabi,rainfed,575.6,24.0,77.8,22.23
cauliflower,8.31,clay,rabi,drip,391.2,31.9,82.5,31.06
cauliflower,7.22,black,rabi,drip,940.6,33.5,73.3,29.45
tomato,2.32,clay,rabi,sprinkler,900.0,29.4,74.1,13.76
brinjal,5.43,clay,zaid,rainfed,477.8,32.1,57.4,12.28
cabbage,5.8,clay,kharif,sprinkler,612.3,34.0,86.9,20.1
tomato,0.85,clay,rabi,sprinkler,727.3,25.0,86.8,3.69
tomato,5.11,sandy,rabi,sprinkler,376.9,34.6,70.7,24.57
cauliflower,7.94,black,kharif,flood,975.1,26.9,83.8,26.02
chili,9.82,black,rabi,rainfed,719.6,31.9,66.1,20.69
cauliflower,5.7,loamy,zaid,rainfed,1149.4,23.8,54.0,17.71
wheat,3.79,sandy,zaid,sprinkler,888.4,25.3,74.7,13.4
rice,9.94,clay,zaid,rainfed,1081.7,28.5,70.7,36.47
chili,7.01,black,rabi,flood,561.0,23.0,60.6,14.76
brinjal,5.11,clay,kharif,drip,1121.5,29.2,71.9,22.94
potato,5.39,clay,zaid,sprinkler,389.6,20.2,88.5,25.96
cabbage,6.99,black,rabi,flood,1139.3,28.6,55.0,31.23
chili,5.6,black,zaid,drip,472.8,30.8,60.9,13.48
brinjal,4.32,sandy,zaid,rainfed,568.2,29.4,56.2,10.36
wheat,0.88,sandy,rabi,drip,593.6,27.0,55.9,3.56
brinjal,2.43,loamy,zaid,flood,992.2,26.4,72.6,8.88
chili,3.37,black,rabi,drip,333.7,27.6,66.1,10.49
brinjal,9.39,sandy,kharif,sprinkler,976.3,34.1,77.1,32.63
cabbage,2.54,black,kharif,drip,864.7,33.9,89.9,8.94
cabbage,4.18,sandy,kharif,drip,554.5,24.6,89.3,15.26
brinjal,4.08,black,kharif,flood,1021.7,26.5,84.8,15.26
potato,3.6,clay,zaid,drip,980.6,25.9,74.3,25.08
wheat,4.01,loamy,rabi,sprinkler,897.4,21.8,88.2,18.13
cabbage,3.72,sandy,rabi,drip,1016.1,21.2,61.3,15.63
cauliflower,1.75,clay,kharif,rainfed,1017.7,27.6,80.0,4.92
onion,3.92,sandy,kharif,rainfed,782.5,30.8,67.7,14.34
wheat,1.29,sandy,rabi,drip,1076.7,27.2,52.8,4.79
brinjal,2.44,black,zaid,rainfed,1043.8,28.4,52.2,9.82
rice,4.96,loamy,zaid,drip,1072.1,24.6,57.7,25.81
wheat,2.41,black,zaid,drip,308.6,21.1,65.0,9.55
cauliflower,2.2,clay,rabi,drip,1102.0,26.9,78.4,12.25
potato,9.63,loamy,kharif,rainfed,872.3,31.5,53.2,42.96
chili,6.26,clay,zaid,rainfed,685.5,20.4,81.3,8.39
brinjal,8.02,loamy,rabi,drip,1188.0,23.8,70.4,57.09
cauliflower,9.48,clay,zaid,drip,351.5,34.0,52.0,30.98
chili,4.99,black,kharif,rainfed,591.9,34.3,82.9,10.12
potato,1.28,clay,kharif,flood,439.1,26.6,70.4,6.68
wheat,3.38,black,kharif,sprinkler,1169.9,34.2,63.4,13.67
cauliflower,8.2,loamy,kharif,drip,1153.5,21.4,56.5,46.32
wheat,2.95,loamy,kharif,flood,704.9,30.4,79.3,12.41
rice,5.57,clay,zaid,flood,665.1,22.5,89.1,24.35
wheat,3.08,black,kharif,drip,393.4,24.4,53.6,12.05
onion,8.26,loamy,rabi,rainfed,312.3,33.4,51.2,25.29
brinjal,5.98,black,kharif,flood,607.9,32.1,59.5,20.48
tomato,0.59,clay,zaid,flood,883.5,27.7,67.8,3.48
onion,5.91,sandy,zaid,drip,1081.2,28.7,78.7,24.49
onion,4.25,black,rabi,flood,1080.4,23.7,88.7,23.3
rice,8.46,clay,rabi,rainfed,590.7,33.3,56.4,26.34
cauliflower,1.51,black,kharif,sprinkler,1039.6,22.1,79.9,5.19
rice,3.44,black,rabi,sprinkler,1177.4,26.2,67.8,22.89
tomato,0.53,black,zaid,sprinkler,1065.0,25.7,69.8,2.67
onion,3.14,clay,kharif,sprinkler,655.9,30.3,82.6,12.71
potato,9.56,sandy,rabi,sprinkler,365.4,23.0,63.9,54.91
brinjal,7.3,clay,rabi,flood,544.0,31.4,78.9,21.5
potato,8.78,loamy,rabi,rainfed,676.5,26.7,62.1,57.44
potato,1.37,sandy,kharif,rainfed,971.9,20.2,75.8,5.31
tomato,9.93,sandy,kharif,drip,999.9,23.4,57.0,60.47
cabbage,8.69,sandy,zaid,flood,1034.5,34.8,86.4,28.66
chili,6.29,loamy,kharif,drip,1123.6,22.3,80.1,20.76
potato,6.0,sandy,kharif,sprinkler,1100.1,28.5,75.3,37.71
brinjal,5.17,sandy,zaid,drip,579.2,22.7,70.2,18.07
onion,1.77,black,kharif,rainfed,1135.0,33.0,78.3,5.8
cabbage,7.79,clay,rabi,rainfed,402.6,29.7,83.4,23.03
wheat,5.52,loamy,rabi,sprinkler,330.9,29.6,53.3,19.56
onion,1.49,sandy,kharif,rainfed,431.0,33.2,71.1,4.18
rice,8.37,sandy,kharif,flood,863.4,21.1,54.5,25.89
cauliflower,1.77,clay,zaid,drip,648.0,32.3,88.8,6.0
potato,6.57,loamy,kharif,sprinkler,606.9,35.0,60.5,40.13
wheat,7.12,sandy,kharif,sprinkler,952.8,32.5,89.0,24.67
wheat,8.85,sandy,zaid,sprinkler,762.8,28.1,60.2,28.74
cabbage,3.94,black,zaid,flood,1043.8,30.5,68.4,13.1
onion,9.5,clay,rabi,drip,547.7,26.0,87.3,41.51
tomato,3.88,sandy,rabi,drip,914.3,29.9,78.6,19.87
brinjal,6.73,loamy,rabi,flood,335.8,29.0,84.8,31.42
brinjal,1.23,black,zaid,flood,903.7,32.3,59.8,4.63
chili,6.88,sandy,kharif,drip,600.5,23.8,75.2,13.0
brinjal,4.66,black,rabi,sprinkler,608.2,28.2,53.7,23.08
cabbage,4.31,black,kharif,sprinkler,1153.0,25.9,55.0,19.9
cabbage,3.6,sandy,rabi,drip,614.7,28.9,61.0,11.4
potato,6.02,loamy,zaid,rainfed,967.5,30.1,58.2,31.1
onion,6.39,loamy,kharif,drip,369.7,27.7,63.7,31.41
cabbage,7.88,loamy,rabi,sprinkler,363.7,29.9,82.4,35.99
wheat,3.48,sandy,kharif,drip,1162.2,20.5,73.2,10.74
cauliflower,5.2,sandy,rabi,rainfed,1123.4,23.2,55.8,15.87
wheat,2.91,black,zaid,drip,1105.6,28.6,64.0,14.11
potato,4.35,black,zaid,drip,1185.7,24.4,61.8,32.38
cauliflower,9.2,sandy,zaid,flood,539.1,33.4,54.1,24.74
chili,9.7,sandy,zaid,rainfed,707.6,34.2,77.1,13.6
brinjal,3.69,sandy,rabi,sprinkler,817.1,27.7,70.5,12.87
potato,2.37,clay,zaid,drip,387.8,22.5,86.9,15.29
onion,5.6,black,kharif,sprinkler,909.4,30.2,75.1,25.68
cabbage,8.96,clay,kharif,drip,812.5,32.5,89.7,30.53
wheat,9.81,black,rabi,sprinkler,1187.0,30.3,59.7,46.5
potato,9.15,loamy,zaid,flood,644.6,29.5,67.2,57.04
potato,9.39,loamy,kharif,sprinkler,1146.7,22.6,85.0,77.24
tomato,3.08,black,rabi,drip,303.3,22.4,64.0,17.49
wheat,1.41,clay,rabi,drip,1108.3,34.0,89.2,6.1
cabbage,9.17,loamy,rabi,sprinkler,459.6,20.1,82.2,31.88
cauliflower,2.75,clay,kharif,rainfed,375.6,31.6,75.2,8.67
chili,5.46,clay,kharif,sprinkler,491.9,31.7,58.2,10.96
chili,4.48,clay,rabi,sprinkler,763.1,30.6,86.2,9.33
cauliflower,1.86,loamy,rabi,drip,892.2,30.9,81.5,8.21
rice,6.31,clay,rabi,rainfed,1185.4,25.4,80.1,27.15
cabbage,9.96,clay,zaid,flood,727.1,32.2,67.3,37.44
tomato,6.24,clay,kharif,rainfed,867.0,26.3,55.8,21.9
cabbage,2.51,loamy,zaid,sprinkler,962.4,24.8,70.2,10.16
chili,4.36,sandy,kharif,flood,986.1,22.2,50.3,6.73
potato,7.63,black,rabi,sprinkler,971.8,22.2,85.1,50.17
cauliflower,2.5,sandy,rabi,rainfed,513.0,29.4,83.2,6.05
cabbage,6.86,sandy,kharif,rainfed,703.3,27.3,58.2,19.35
cauliflower,5.12,loamy,rabi,rainfed,809.3,33.8,82.0,16.59
brinjal,5.18,clay,zaid,drip,473.1,27.0,59.8,24.61
cabbage,5.56,clay,rabi,sprinkler,868.4,28.1,55.2,21.74
